subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
21,-0.06346642,0.035285571,-0.052086883,0.111217803,0.007737518,0.400084832,1.615814364,1.584864292,0.424346477,0.867674724,0.185410658,0.122907468,0.456079687,0.850031937,0.2114541,0.067298566,0.392613267,0.885317508,0.159367217,0.17851637,-0.057776651,0.073251687,-0.014090424,0.02956546,0.551980485,1.06383388,1.277930779,0.337883585,0.667533785,0.917330503,1.306111624,0.278752667,0.304878568,0.495291095,0.646010599,0.154159063
22,-0.072724528,-0.044444149,0.034877524,0.070268785,-0.003005592,0.658880796,2.629512,2.641534372,0.816145646,1.286283146,0.264688497,0.268405891,0.852507912,1.308505224,0.247249735,0.233271498,0.779783384,1.264061075,0.282127258,0.303540284,-0.018923502,0.012912318,-0.058584338,0.052573155,1.061910644,1.567601359,2.043844462,0.58566754,1.099757646,1.541776724,2.161013131,0.480521233,0.540417071,0.777344521,1.051214397,0.266547194
23,-0.137458809,-0.079209169,0.054645436,0.073950524,-0.022018004,0.308989974,1.191923885,1.279995908,0.207494011,0.66388567,0.231735915,0.1328443,0.276223416,0.703490253,0.204413196,0.095869038,0.138764607,0.624281084,0.259058632,0.169819561,-0.041406686,-0.002629323,-0.108333989,0.06429798,0.39782324,0.794100651,0.76304569,0.428878193,0.480636611,0.799359296,0.979713672,0.300282233,0.219614963,0.398364984,0.435689839,0.182290106
24,-0.051954843,-0.087732179,-0.11504634,0.045297733,-0.052358907,0.484899753,1.834881196,2.044316835,0.62789555,1.595644888,-0.197620261,-0.086321165,0.653872973,1.639510979,-0.14009709,-0.108970031,0.601918131,1.5517788,-0.255143431,-0.063672298,-0.083500591,-0.021217223,-0.069843511,-0.034874304,0.3467747,1.488106503,2.153696931,-0.318815728,0.513775884,1.53054095,2.293383949,-0.249067121,0.215137646,0.754661864,1.111770222,-0.141970712
25,-0.097220951,0.03593094,-0.101140092,0.062951941,-0.024869541,0.180836472,0.673606807,0.773084967,0.156149587,0.591827541,-0.101597259,0.076966018,0.204760063,0.57386207,-0.051027212,0.045490048,0.107539112,0.60979301,-0.152167304,0.108441989,-0.099180521,0.04944144,-0.030645005,-0.019094075,-0.044628193,0.718235001,0.717332121,-0.043725315,0.15373285,0.619352119,0.778622129,-0.005537165,0.027276165,0.334396778,0.373988565,-0.01231562
26,-0.100345232,-0.099050509,-0.062226006,-0.073324911,-0.083736665,0.41677469,1.499625432,1.834572089,0.375566946,0.828126901,-0.075357883,0.538762794,0.425739563,0.877652156,-0.04424488,0.575425247,0.325394331,0.778601647,-0.106470886,0.502100336,-0.081285619,-0.08618771,-0.099697871,-0.067775459,0.218923445,1.280701981,1.103995976,0.395629449,0.381494682,1.453077401,1.303391719,0.531180368,0.150104532,0.683444847,0.601846925,0.231702454
27,-0.095392551,0.06636482,-0.020463918,-0.000291296,-0.012445736,0.455228271,1.796021617,1.84580456,0.93526908,0.954318526,0.056237019,-0.124911538,0.982965358,0.921136114,0.066468978,-0.12476589,0.887572807,0.987500934,0.046005061,-0.125057187,-0.057928235,0.033036762,-0.014513865,-0.010377607,0.933577867,0.862443748,1.875073739,-0.079052126,1.049434337,0.796370223,1.904101479,-0.058296912,0.49575305,0.414703492,0.944793803,-0.03433726
28,-0.095170201,-0.105014656,-0.236963323,-0.079702634,-0.129212703,0.180950277,0.465375701,0.982226516,0.529376392,0.733978817,-0.309474656,-0.230079442,0.576961491,0.786486144,-0.190992995,-0.190228125,0.48179129,0.681471489,-0.427956319,-0.269930759,-0.166066762,-0.092358645,-0.100092428,-0.158332978,0.053834972,0.41154073,1.163262779,-0.697887078,0.385968497,0.59625802,1.363447637,-0.381221119,0.109950866,0.251949688,0.631677603,-0.26977705
29,-0.030874267,-0.044516127,-0.004648805,0.10416228,0.00603077,0.20734457,0.841439822,0.817316739,0.230557079,0.52620664,-0.015402691,0.088017254,0.245994212,0.548464704,-0.013078289,0.035936114,0.215119945,0.503948577,-0.017727094,0.140098394,-0.017761536,0.029823077,-0.037695197,0.049756738,0.197392852,0.644046971,0.719068522,0.1223713,0.232915923,0.584400818,0.794458917,0.022857825,0.107577194,0.307111947,0.378381861,0.036307281
30,-0.173968335,-0.030950921,-0.121444565,-0.086433015,-0.103199209,0.225557664,0.695832243,1.108629072,0.220119741,0.547027826,-0.152008389,0.287091479,0.307103908,0.562503287,-0.091286106,0.330307988,0.133135573,0.531552366,-0.212730671,0.243874972,-0.14770645,-0.058691968,-0.102459628,-0.10393879,-0.079595098,0.77542734,0.664687939,0.031144301,0.215817801,0.892811276,0.869607195,0.239021882,0.034055676,0.417059652,0.383573784,0.067541546
31,-0.197286063,0.190270864,-0.091992094,-0.000897172,-0.024976116,0.208689814,0.784807024,0.88471149,0.528087725,-0.203551093,0.322287932,0.187934693,0.626730755,-0.298686524,0.36828398,0.188383279,0.429444692,-0.108415661,0.276291885,0.187486107,-0.144639078,0.094686846,-0.003507599,-0.046444633,0.705736577,0.079070446,0.321029032,0.463777992,0.995014737,-0.110303246,0.328044231,0.556667258,0.425187828,-0.0078082,0.162268316,0.255111314
32,-0.099418321,-0.067256977,-0.01891349,-0.134021381,-0.079902542,0.50222892,1.849110587,2.16872076,0.698320274,0.942134869,0.197983678,0.170476854,0.748029432,0.975763358,0.207440423,0.237487544,0.648611111,0.908506381,0.188526934,0.103466163,-0.059165905,-0.100639179,-0.083337649,-0.076467435,0.837138046,1.011972548,1.557117491,0.291993096,0.955469857,1.213250903,1.723792786,0.444927968,0.448151976,0.556305861,0.82022757,0.184230266
